frame_idx,x,y,z,yaw,pitch,roll,reprojection_error,process_time,avg_center_x,avg_center_y
241,246.79,-795.22,5630.99,-2.17,-3.46,175.10,0.39,0.0172,-1000000.00,-1000000.00
242,241.67,-794.86,5599.72,-1.32,-3.14,175.17,0.32,0.0170,-1000000.00,-1000000.00
243,238.96,-792.81,5568.00,-2.44,-4.45,175.26,0.33,0.0168,-1000000.00,-1000000.00
244,233.79,-789.99,5533.92,-3.22,-5.20,175.39,0.31,0.0161,-1000000.00,-1000000.00
245,233.09,-789.98,5529.19,-2.49,-4.20,175.40,0.27,0.0162,-1000000.00,-1000000.00
246,232.98,-787.35,5521.35,-2.82,-4.02,175.39,0.27,0.0194,-1000000.00,-1000000.00
247,227.46,-787.21,5488.36,-2.88,-4.49,175.46,0.40,0.0182,-1000000.00,-1000000.00
248,226.01,-787.74,5494.80,-3.57,-4.08,175.61,0.33,0.0178,-1000000.00,-1000000.00
249,223.07,-783.41,5459.93,-4.52,-3.14,175.76,0.41,0.0190,-1000000.00,-1000000.00
250,220.22,-787.11,5473.33,-2.47,-3.57,175.54,0.33,0.0175,-1000000.00,-1000000.00
251,218.88,-787.17,5465.63,-2.51,-3.29,175.56,0.41,0.0206,-1000000.00,-1000000.00
252,214.30,-781.52,5422.72,-1.22,-3.65,175.58,0.42,0.0163,-1000000.00,-1000000.00
253,212.09,-780.28,5409.33,-1.76,-4.49,175.71,0.52,0.0193,-1000000.00,-1000000.00
254,208.20,-777.70,5402.85,-0.98,-4.03,175.54,0.41,0.0190,-1000000.00,-1000000.00
255,205.08,-777.31,5372.15,-2.74,-4.05,175.79,0.50,0.0185,-1000000.00,-1000000.00
256,202.66,-774.54,5347.69,-1.90,-4.82,175.56,0.49,0.0171,-1000000.00,-1000000.00
257,201.94,-774.96,5349.52,-2.28,-5.06,175.67,0.49,0.0181,-1000000.00,-1000000.00
258,198.81,-771.83,5332.06,-3.25,-4.31,175.68,0.44,0.0181,-1000000.00,-1000000.00
259,196.78,-772.46,5340.61,-2.87,-3.58,175.65,0.43,0.0179,-1000000.00,-1000000.00
260,192.05,-767.27,5292.74,-2.90,-3.86,175.75,0.46,0.0173,-1000000.00,-1000000.00
261,192.99,-767.90,5290.09,-2.92,-3.52,175.44,0.54,0.0175,-1000000.00,-1000000.00
262,190.73,-765.55,5264.62,-3.93,-3.52,175.58,0.56,0.0167,-1000000.00,-1000000.00
263,187.65,-758.82,5234.00,-3.92,-3.77,175.52,0.54,0.0181,-1000000.00,-1000000.00
264,186.00,-758.38,5227.84,-3.23,-4.24,175.38,0.52,0.0195,-1000000.00,-1000000.00
